timestamp,forecast_annual,realized_annual
1424361600,,1.22640399
1424376000,,1.19333681
1424390400,,1.19333681
1424404800,,1.19238787
1424419200,,1.19238787
1424433600,,1.19238787
1424448000,,1.19240128
1424462400,,1.19267451
1424476800,,1.19382080
1424491200,,1.19382080
1424505600,,1.19382080
1424520000,,1.19383139
1424534400,,1.19265439
1424548800,,1.19265439
1424563200,,1.19172302
1424577600,,1.19697543
1424592000,,1.19564086
1424606400,,1.25912378
1424620800,,1.25350567
1424635200,,1.25395850
1424649600,,1.32024701
1424664000,,1.32026251
1424678400,,1.32026251
1424692800,,1.34465147
1424707200,,1.34710388
1424721600,,1.34710388
1424736000,,1.34894748
1424750400,,1.34894748
1424764800,,1.34894748
1424779200,,1.34822112
1424793600,,1.34822112
1424808000,,1.34797876
1424822400,,1.35637067
1424836800,,1.35637067
1424851200,,1.35605568
1424865600,,1.35605568
1424880000,,1.36379025
1424894400,,1.37167175
1424908800,,1.37167175
1424923200,,1.37837655
1424937600,,1.37837655
1424952000,,1.38028472
1424966400,,1.38015638
1424980800,,1.38017417
1424995200,,1.37335940
1425009600,,1.36646760
1425024000,,1.36017223
1425038400,,1.35263186
1425052800,,1.34504922
1425067200,,1.34504922
1425081600,,1.33890142
1425096000,,1.33890142
1425110400,,1.33890142
1425124800,,1.34033915
1425139200,,1.34033915
1425153600,,1.34060537
1425168000,,1.34884009
1425182400,,1.34884229
1425196800,,1.34514595
1425211200,,1.35193518
1425225600,,1.35193518
1425240000,,1.35538402
1425254400,,1.35538402
1425268800,,1.35539190
1425283200,,1.35539190
1425297600,,1.35532089
1425312000,,1.35524988
1425326400,,1.33352992
1425340800,,1.33352992
1425355200,,1.33346659
1425369600,,1.33433367
1425384000,,1.32759453
1425398400,,1.33185083
1425412800,,1.32751197
1425427200,,1.32751197
1425441600,,1.32751197
1425456000,,1.32289328
1425470400,,1.32305344
1425484800,,1.29441670
1425499200,,1.29458038
1425513600,,1.25955984
1425528000,,1.26230617
1425542400,,1.23719040
1425556800,,1.23719040
1425571200,,1.23719040
1425585600,,1.20921328
1425600000,,1.19912040
1425614400,,1.19912040
1425628800,,1.19905051
1425643200,,1.19905722
1425657600,,1.19948596
1425672000,,1.19223543
1425686400,,1.19223543
1425700800,,1.19223543
1425715200,,1.19223543
1425729600,,1.19223543
1425744000,,1.19223543
1425758400,,1.19223543
1425772800,,1.19223543
1425787200,,1.19228724
1425801600,,1.19228724
1425816000,,1.19228724
1425830400,,1.17616253
1425844800,,1.15976524
1425859200,,1.15996327
1425873600,,1.16193047
1425888000,,1.15060354
1425902400,,1.13587129
1425916800,,1.13584417
1425931200,,1.13588206
1425945600,,1.14077825
1425960000,,1.14142650
1425974400,,1.12520912
1425988800,,1.12531472
1426003200,,1.16681675
1426017600,,1.16681675
1426032000,,1.16658401
1426046400,,1.15409528
1426060800,,1.15409528
1426075200,,1.27103677
1426089600,,1.27455990
1426104000,,1.26588229
1426118400,,1.27103831
1426132800,,1.27111427
1426147200,,1.27111427
1426161600,,1.27300965
1426176000,,1.27335614
1426190400,,1.27352740
1426204800,,1.23709506
1426219200,,1.23709506
1426233600,,1.23781284
1426248000,,1.23781284
1426262400,,1.23781284
1426276800,,1.19740092
1426291200,,1.19866566
1426305600,,1.20172361
1426320000,,1.20172360
1426334400,,1.20688752
1426348800,,1.21941716
1426363200,,1.21941716
1426377600,,1.23181935
1426392000,,1.23181935
1426406400,,1.23181935
1426420800,,1.24215145
1426435200,,1.24205461
1426449600,,1.24240061
1426464000,,1.22164300
1426478400,,1.18030611
1426492800,,1.18030611
1426507200,,1.18039285
1426521600,,1.18046843
1426536000,,1.18336963
1426550400,,1.18488337
1426564800,,1.18488337
1426579200,,1.18488337
1426593600,,1.18488337
1426608000,,1.19179585
1426622400,,1.19179585
1426636800,,1.19179585
1426651200,,1.19179585
1426665600,,1.19240836
1426680000,,1.19273100
1426694400,,1.19121515
1426708800,,1.17939143
1426723200,,1.17760474
1426737600,,1.17003306
1426752000,,1.17044504
1426766400,,1.17005704
1426780800,,1.17005704
1426795200,,1.16224443
1426809600,,1.16224443
1426824000,,1.15547299
1426838400,,1.14344706
1426852800,,1.14314823
1426867200,,1.13505856
1426881600,,1.12934098
1426896000,,1.12934098
1426910400,,1.12920509
1426924800,,1.12990317
1426939200,,1.13358937
1426953600,,1.12961198
1426968000,,1.12961198
1426982400,,1.12961198
1426996800,,1.12932128
1427011200,,1.12932128
1427025600,,1.13309565
1427040000,,1.13308154
1427054400,,1.13279724
1427068800,,1.13886382
1427083200,,1.14478035
1427097600,,1.14478564
1427112000,,1.15031449
1427126400,,1.15251739
1427140800,,1.15298936
1427155200,,1.15256762
1427169600,,1.14711189
1427184000,,1.14711189
1427198400,,1.07695237
1427212800,,1.07639954
1427227200,,1.07594820
1427241600,,0.99354395
1427256000,,0.99352336
1427270400,,0.99352336
1427284800,,0.96025735
1427299200,,0.96335962
1427313600,,0.97915518
1427328000,,0.97661375
1427342400,,0.97661375
1427356800,,0.97661375
1427371200,,0.97661375
1427385600,,0.99219833
1427400000,,0.99219833
1427414400,,0.98069510
1427428800,,0.98072747
1427443200,,0.98280929
1427457600,,0.99360707
1427472000,,0.98359431
1427486400,,0.97257299
1427500800,,0.97885480
1427515200,,0.96939062
1427529600,,0.96939062
1427544000,,0.96621192
1427558400,,0.96621192
1427572800,,0.96618651
1427587200,,0.96505806
1427601600,,0.96505806
1427616000,,0.96335182
1427630400,,0.96335182
1427644800,,0.96335182
1427659200,,0.97143150
1427673600,,0.97143150
1427688000,,0.97143150
1427702400,,0.97143150
1427716800,,0.96944681
1427731200,,0.96944681
1427745600,,0.96907863
1427760000,,0.95758372
1427774400,,0.95758062
1427788800,,0.95019185
1427803200,,0.94050702
1427817600,,0.96193457
1427832000,,0.95706984
1427846400,,0.96581837
1427860800,,0.96580731
1427875200,,0.96580731
1427889600,,0.97018009
1427904000,,0.97453324
1427918400,,0.97453324
1427932800,,0.97453324
1427947200,,0.97453324
1427961600,,0.97325895
1427976000,,0.97364535
1427990400,,0.96781499
1428004800,,0.96745186
1428019200,,0.96745186
1428033600,,0.96745186
1428048000,,0.96815623
1428062400,,0.96793735
1428076800,,0.96833657
1428091200,,0.96811773
1428105600,,0.96979513
1428120000,,0.96789843
1428134400,,0.96496675
1428148800,,0.96496675
1428163200,,0.96496675
1428177600,,0.96825709
1428192000,,0.96779307
1428206400,,0.96779307
1428220800,,0.96779307
1428235200,,0.96778476
1428249600,,0.96725331
1428264000,,0.96779829
1428278400,,0.96779829
1428292800,,0.96807600
1428307200,,0.96807600
1428321600,,0.96807600
1428336000,,0.98062837
1428350400,,1.00615285
1428364800,,1.00615285
1428379200,,1.00609146
1428393600,,1.00609146
1428408000,,1.00609146
1428422400,,1.00603563
1428436800,,1.00603563
1428451200,,1.03070843
1428465600,,1.02849027
1428480000,,1.01969197
1428494400,,1.01969197
1428508800,,1.01969197
1428523200,,1.02849305
1428537600,,1.02305962
1428552000,,1.02233632
1428566400,,1.02212936
1428580800,,1.02201310
1428595200,,0.96321950
1428609600,,0.97593361
1428624000,,0.97593361
1428638400,,0.97593361
1428652800,,0.97593361
1428667200,,0.81611097
1428681600,,0.81050748
1428696000,,0.81050262
1428710400,,0.86197063
1428724800,,0.91758354
1428739200,,0.97011279
1428753600,,0.99299072
1428768000,,0.99265897
1428782400,,0.99244939
1428796800,,0.99292737
1428811200,,0.99292737
1428825600,,0.99212491
1428840000,,0.99212799
1428854400,,0.99480959
1428868800,,0.99480959
1428883200,,0.99328532
1428897600,,0.98958347
1428912000,,0.98958347
1428926400,,0.98327899
1428940800,,0.96769668
1428955200,,0.97094875
1428969600,,0.95521811
1428984000,,0.95521811
1428998400,,0.95535744
1429012800,,0.94590317
1429027200,,0.95094789
1429041600,,0.95634098
1429056000,,0.95984988
1429070400,,0.96032694
1429084800,,0.96035447
1429099200,,0.96131003
1429113600,,0.96121722
1429128000,,0.95764324
1429142400,,0.96082279
1429156800,,0.96489275
1429171200,,0.96489275
1429185600,,0.96489275
1429200000,,0.95639266
1429214400,,0.95639654
1429228800,,0.95639654
1429243200,,0.95639654
1429257600,,0.95356236
1429272000,,0.95315876
1429286400,,0.95298086
1429300800,,0.95292227
1429315200,,0.95292227
1429329600,,0.95292227
1429344000,,0.95241620
1429358400,,0.95241620
1429372800,,0.95277646
1429387200,,0.95287085
1429401600,,0.95631648
1429416000,,0.95742698
1429430400,,0.95742698
1429444800,,0.96012639
1429459200,,0.97682672
1429473600,,0.99209769
1429488000,,0.99245309
1429502400,,0.99281382
1429516800,,0.98860286
1429531200,,0.99196748
1429545600,,0.99814399
1429560000,,1.00345014
1429574400,,1.00349316
1429588800,,1.00353900
1429603200,,1.00353900
1429617600,,0.99927539
1429632000,,0.99927544
1429646400,,0.99927170
1429660800,,0.99115504
1429675200,,0.98437274
1429689600,,0.98442380
1429704000,,0.97805000
1429718400,,0.97552377
1429732800,,0.97501615
1429747200,,0.97501614
1429761600,,0.97501614
1429776000,,0.97501614
1429790400,,0.97831037
1429804800,,0.97831037
1429819200,,0.97820357
1429833600,,0.97815282
1429848000,,0.97815282
1429862400,,0.97818490
1429876800,,0.97818490
1429891200,,0.97377050
1429905600,,0.96044434
1429920000,,0.96044434
1429934400,,0.96055212
1429948800,,0.96444499
1429963200,,0.96459030
1429977600,,0.94855223
1429992000,,0.94855223
1430006400,,0.94855223
1430020800,,0.95241929
1430035200,,0.95027090
1430049600,,0.93902058
1430064000,,0.93836475
1430078400,,0.94237436
1430092800,,0.93584771
1430107200,,0.93590187
1430121600,,0.93875645
1430136000,,0.93886854
1430150400,,0.93886854
1430164800,,0.93887261
1430179200,,0.93887261
1430193600,,0.93928057
1430208000,,0.93928057
1430222400,,0.94189525
1430236800,,0.94196688
1430251200,,0.93363225
1430265600,,0.93370770
1430280000,,0.93370770
1430294400,,0.93373516
1430308800,,0.93552950
1430323200,,0.93912392
1430337600,,0.93912392
1430352000,,0.93912392
1430366400,,0.93912392
1430380800,,0.93891252
1430395200,,0.93891252
1430409600,,0.91804240
1430424000,,0.91804148
1430438400,,0.90883316
1430452800,,0.90883316
1430467200,,0.90883316
1430481600,,0.90945232
1430496000,,0.91007105
1430510400,,0.91028450
1430524800,,0.91028450
1430539200,,0.91028450
1430553600,,0.91028450
1430568000,,0.90987119
1430582400,,0.90987119
1430596800,,0.91021731
1430611200,,0.91024862
1430625600,,0.91817864
1430640000,,0.92057785
1430654400,,0.92057785
1430668800,,0.92030849
1430683200,,0.92228002
1430697600,,0.92853375
1430712000,,0.92706778
1430726400,,0.92709858
1430740800,,0.92712938
1430755200,,0.92764578
1430769600,,0.93326402
1430784000,,0.93512801
1430798400,,0.93714726
1430812800,,0.93714726
1430827200,,0.93916217
1430841600,,0.93916217
1430856000,,0.94061236
1430870400,,0.94061236
1430884800,,0.94032653
1430899200,,0.94032653
1430913600,,0.94032653
1430928000,,0.92926515
1430942400,,0.90156650
1430956800,,0.90208592
1430971200,,0.90310259
1430985600,,0.90310259
1431000000,,0.90411085
1431014400,,0.90411085
1431028800,,0.90411085
1431043200,,0.87561685
1431057600,,0.87561685
1431072000,,0.87561685
1431086400,,0.87682249
1431100800,,0.87682249
1431115200,,0.86623104
1431129600,,0.86623104
1431144000,,0.86623104
1431158400,,0.86623104
1431172800,,0.86623104
1431187200,,0.86839146
1431201600,,0.85625817
1431216000,,0.85625817
1431230400,,0.85625817
1431244800,,0.85625817
1431259200,,0.85549166
1431273600,1.15021807,0.85549166
1431288000,1.15021807,0.86186395
1431302400,1.13503276,0.81110010
1431316800,1.13479546,0.74747850
1431331200,1.13521012,0.68832987
1431345600,1.13593780,0.65120211
1431360000,1.13984393,0.65103043
1431374400,1.14358563,0.65936635
1431388800,1.14305862,0.66945549
1431403200,1.15337861,0.67551074
1431417600,1.16981250,0.67537489
1431432000,1.17285013,0.67537036
1431446400,1.15813528,0.67648019
1431460800,1.16514422,0.69422324
1431475200,1.16514422,0.69422324
1431489600,1.16532759,0.71323061
1431504000,1.16533381,0.71323061
1431518400,1.19276255,0.73174442
1431532800,1.19276255,0.74663215
1431547200,1.15772638,0.74239811
1431561600,1.16138976,0.74233018
1431576000,1.16366987,0.74233018
1431590400,1.16004465,0.74215085
1431604800,1.15306418,0.73702212
1431619200,1.14727504,0.74040253
1431633600,1.14273924,0.73283704
1431648000,1.13724771,0.73659104
1431662400,1.13401264,0.74223098
1431676800,1.13747081,0.74219536
1431691200,1.13743378,0.74081908
1431705600,1.14655206,0.74081908
1431720000,1.15282738,0.74081908
1431734400,1.14016211,0.73425344
1431748800,1.13853493,0.73262050
1431763200,1.14492707,0.73262050
1431777600,1.14492707,0.73262050
1431792000,1.14242349,0.73390119
1431806400,1.14849969,0.73389613
1431820800,1.17117645,0.73393297
1431835200,1.17117645,0.73486119
1431849600,1.17117645,0.74157115
1431864000,1.17707482,0.74822093
1431878400,1.17815642,0.75216730
1431892800,1.17637051,0.75718401
1431907200,1.17702790,0.75718401
1431921600,1.17597115,0.77131428
1431936000,1.17295914,0.78519030
1431950400,1.17015756,0.81707090
1431964800,1.14835091,0.81665078
1431979200,1.14806649,0.81654065
1431993600,1.12226334,0.81250247
1432008000,1.12138561,0.81119361
1432022400,1.12482333,0.81425075
1432036800,1.11844653,0.81106598
1432051200,1.10935910,0.79758257
1432065600,1.10696568,0.77801767
1432080000,1.10931578,0.78329656
1432094400,1.10924550,0.78297241
1432108800,1.11245101,0.78898615
1432123200,1.11013899,0.78047539
1432137600,1.11331734,0.77256061
1432152000,1.11156413,0.76580104
1432166400,1.11448145,0.76574467
1432180800,1.11443129,0.76568460
1432195200,1.11910955,0.78465573
1432209600,1.12381712,0.78528874
1432224000,1.14851885,0.78528868
1432238400,1.15183445,0.78560534
1432252800,1.14216601,0.78585802
1432267200,1.14126982,0.79163020
1432281600,1.14000753,0.79155906
1432296000,1.13785000,0.79142885
1432310400,1.12879967,0.79016710
1432324800,1.13119547,0.79010509
1432339200,1.13312119,0.79010509
1432353600,1.13342480,0.79010509
1432368000,1.13407453,0.79010509
1432382400,1.12298402,0.78850899
1432396800,1.12718858,0.79294174
1432411200,1.12664110,0.79293539
1432425600,1.12679938,0.79306001
1432440000,1.12724092,0.79306001
1432454400,1.15143212,0.79302043
1432468800,1.15298318,0.79302043
1432483200,1.12649826,0.79052467
1432497600,1.12138644,0.78741463
1432512000,1.12532613,0.78818595
1432526400,1.12316452,0.78807111
1432540800,1.11725267,0.78816704
1432555200,1.12075051,0.78798920
1432569600,1.12595836,0.78882902
1432584000,1.12595911,0.78884778
1432598400,1.12612298,0.78884778
1432612800,1.12195433,0.78473724
1432627200,1.12638506,0.78911578
1432641600,1.12475416,0.78919048
1432656000,1.12583068,0.78947102
1432670400,1.11777273,0.78487941
1432684800,1.12616573,0.78488754
1432699200,1.12446200,0.78482296
1432713600,1.08693897,0.78140625
1432728000,1.08802506,0.78135296
1432742400,1.09543775,0.78135296
1432756800,1.09515685,0.78134809
1432771200,1.09554181,0.78439734
1432785600,1.10668418,0.78390877
1432800000,1.10878199,0.79422795
1432814400,1.09195676,0.79112537
1432828800,1.09310426,0.79117902
1432843200,1.09412083,0.79117902
1432857600,1.09091992,0.79108997
1432872000,1.09189545,0.79108997
1432886400,1.11090504,0.79105756
1432900800,1.09391487,0.78893470
1432915200,1.08836885,0.78465258
1432929600,1.08820296,0.78465263
1432944000,1.08820296,0.78465263
1432958400,1.08820455,0.78465263
1432972800,1.09114198,0.78465264
1432987200,1.12707662,0.78855887
1433001600,1.09535961,0.78924270
1433016000,1.09734718,0.79118748
1433030400,1.09423741,0.79121579
1433044800,1.09409753,0.79540188
1433059200,1.09409753,0.79540188
1433073600,1.08531620,0.78934955
1433088000,1.08386730,0.78342929
1433102400,1.08472387,0.78322140
1433116800,1.08616780,0.78323553
1433131200,1.08444366,0.78405886
1433145600,1.08929087,0.78405886
1433160000,1.11268300,0.78543420
1433174400,1.13179291,0.78811985
1433188800,1.10785014,0.79015332
1433203200,1.10806924,0.79011725
1433217600,1.08727778,0.78690285
1433232000,1.08498863,0.78322485
1433246400,1.08738129,0.78324289
1433260800,1.08625459,0.78308398
1433275200,1.08517356,0.78084337
1433289600,1.08792869,0.77129192
1433304000,1.09096568,0.77094801
1433318400,1.09131048,0.77091097
1433332800,1.09140577,0.77087393
1433347200,1.09173651,0.77025242
1433361600,1.09285118,0.75944069
1433376000,1.09281229,0.75704521
1433390400,1.09072966,0.75454414
1433404800,1.09134908,0.75454414
1433419200,1.08893095,0.75203475
1433433600,1.07448865,0.75210953
1433448000,1.07841807,0.74959200
1433462400,1.07761140,0.74982824
1433476800,1.07761140,0.75086176
1433491200,1.08125614,0.75334008
1433505600,1.08108239,0.75396672
1433520000,1.08504517,0.75978195
1433534400,1.07785619,0.75986341
1433548800,1.07736451,0.75935735
1433563200,1.07658196,0.75867294
1433577600,1.07388391,0.75887128
1433592000,1.07771814,0.76369032
1433606400,1.06907478,0.76691897
1433620800,1.07000754,0.76698095
1433635200,1.07359482,0.76698095
1433649600,1.07356720,0.76699692
1433664000,1.09477912,0.76699692
1433678400,1.06595992,0.76561835
1433692800,1.06029580,0.76817437
1433707200,1.05657754,0.76817437
1433721600,1.05657754,0.76817437
1433736000,1.05200754,0.76882317
1433750400,1.07402875,0.76919011
1433764800,1.06796483,0.78727910
1433779200,1.05190761,0.78921941
1433793600,1.05288023,0.78685344
1433808000,1.05001752,0.78685344
1433822400,1.05001752,0.78688906
1433836800,1.04545199,0.78688906
1433851200,1.05644456,0.77990288
1433865600,1.05385508,0.78098266
1433880000,1.05988630,0.77394581
1433894400,1.06440460,0.76469533
1433908800,1.06013737,0.76469533
1433923200,1.06854145,0.80324693
1433937600,1.06502892,0.80654551
1433952000,1.06672640,0.80744729
1433966400,1.07410451,0.80064200
1433980800,1.07553343,0.83344988
1433995200,1.07752160,0.87620254
1434009600,1.07423481,0.87759492
1434024000,1.07423481,0.88253419
1434038400,1.07957878,0.87898055
1434052800,1.08306259,0.86612970
1434067200,1.08048410,0.86916990
1434081600,1.08502860,0.85368043
1434096000,1.08066037,0.85566842
1434110400,1.08590727,0.84319556
1434124800,1.08845841,0.83150747
1434139200,1.08467906,0.83645749
1434153600,1.04901977,0.83645749
1434168000,1.04930387,0.87111000
1434182400,1.05293166,0.87148003
1434196800,1.08377360,0.87148003
1434211200,1.05707737,0.85875944
1434225600,1.05301718,0.85875944
1434240000,1.05481550,0.85160308
1434254400,1.05333414,0.84615087
1434268800,1.04971528,0.84615087
1434283200,1.05322628,0.84615091
1434297600,1.05364349,0.84615094
1434312000,1.05775230,0.84615094
1434326400,1.08434539,0.84615094
1434340800,1.06340141,0.84292892
1434355200,1.06022929,0.84292892
1434369600,1.06109292,0.84292892
1434384000,1.06248015,0.84309562
1434398400,1.06074682,0.85094566
1434412800,1.06782833,0.85869245
1434427200,1.06847151,0.85789822
1434441600,1.06403201,0.85381634
1434456000,1.06116244,0.85371689
1434470400,1.05939376,0.85035788
1434484800,1.05794566,0.84588954
1434499200,1.05459344,0.84588954
1434513600,1.05618577,0.83724434
1434528000,1.05514616,0.82702823
1434542400,1.05101660,0.79554676
1434556800,1.04730248,0.79554676
1434571200,1.04761618,0.79554676
1434585600,1.04880019,0.79899467
1434600000,1.05040686,0.79899467
1434614400,1.06423861,0.79587893
1434628800,1.06089206,0.79604219
1434643200,1.05801400,0.78684531
1434657600,1.05586400,0.78675605
1434672000,1.05590913,0.78104915
1434686400,1.05488557,0.78445460
1434700800,1.05501449,0.77840585
1434715200,1.05634791,0.77734512
1434729600,1.05360365,0.78476251
1434744000,1.05801028,0.78726606
1434758400,1.05658869,0.78726606
1434772800,1.06513286,0.78726606
1434787200,1.05599486,0.76835938
1434801600,1.05435577,0.76925311
1434816000,1.05186627,0.76933074
1434830400,1.05463395,0.77388117
1434844800,1.05548387,0.77339107
1434859200,1.06340081,0.76903635
1434873600,1.04147083,0.76903635
1434888000,1.04147083,0.76995182
1434902400,1.04155534,0.77000431
1434916800,1.04169263,0.77144100
1434931200,1.05158965,0.77144100
1434945600,1.05158965,0.77179182
1434960000,1.05117969,0.77179182
1434974400,1.03114064,0.77155734
1434988800,1.02828751,0.76713978
1435003200,1.04092057,0.76845957
1435017600,1.03421693,0.76832705
1435032000,1.04052661,0.76832705
1435046400,1.04127883,0.76832705
1435060800,1.04726674,0.76832705
1435075200,1.04726674,0.76832705
1435089600,1.05085642,0.76832705
1435104000,1.03330820,0.76753577
1435118400,1.03972570,0.76751882
1435132800,1.02710991,0.76414983
1435147200,1.03985940,0.76414983
1435161600,1.02999119,0.76368107
1435176000,1.03600141,0.76366170
1435190400,1.03919300,0.76366170
1435204800,1.03254798,0.76304800
1435219200,1.02715573,0.75909284
1435233600,1.03362355,0.75895868
1435248000,1.03217056,0.75915229
1435262400,1.03277603,0.75894664
1435276800,1.03804004,0.76846972
1435291200,1.04340104,0.76846972
1435305600,1.04320198,0.77308506
1435320000,1.03853572,0.77300278
1435334400,1.04591205,0.77312879
1435348800,1.04604216,0.77312878
1435363200,1.02851151,0.77003491
1435377600,1.04046221,0.77003491
1435392000,1.02481198,0.75938705
1435406400,1.03892271,0.75938705
1435420800,1.03236596,0.76023600
1435435200,1.03929658,0.76685941
1435449600,1.03888388,0.76709708
1435464000,1.04619265,0.76709708
1435478400,1.04611059,0.76724119
1435492800,1.04981162,0.76724119
1435507200,1.04981162,0.76851236
1435521600,1.04972269,0.76913686
1435536000,1.04923072,0.76913686
1435550400,1.04921319,0.76913686
1435564800,1.04916681,0.77049172
1435579200,1.02793956,0.76785295
1435593600,0.98259589,0.76584860
1435608000,0.98393713,0.76488964
1435622400,0.99007807,0.76514178
1435636800,0.98565192,0.76078921
1435651200,0.99767189,0.76920912
1435665600,0.99870664,0.76920912
1435680000,0.99109550,0.76906342
1435694400,0.99326751,0.76902255
1435708800,0.99011873,0.76900815
1435723200,0.98059925,0.76820518
1435737600,0.98838621,0.76820518
1435752000,0.97928367,0.76679894
1435766400,0.97967122,0.76414479
1435780800,0.98164699,0.76162847
1435795200,0.99177885,0.76162847
1435809600,0.98502308,0.75551989
1435824000,0.99652995,0.75551989
1435838400,0.99490521,0.75550119
1435852800,0.99619059,0.75723501
1435867200,0.99415736,0.75715011
1435881600,1.01338609,0.75715011
1435896000,1.00913511,0.75715274
1435910400,1.00725015,0.75715274
1435924800,1.00522091,0.75715274
1435939200,1.01166558,0.75876869
1435953600,0.99027667,0.75916820
1435968000,0.99612011,0.75945903
1435982400,0.99612011,0.75945903
1435996800,0.99579151,0.75945903
1436011200,0.99571721,0.76100222
1436025600,0.99419089,0.76093530
1436040000,0.99716886,0.76093530
1436054400,0.98670479,0.76070250
1436068800,0.97851533,0.75968237
1436083200,0.97277452,0.75722480
1436097600,0.97030896,0.76269547
1436112000,0.97659194,0.75441431
1436126400,0.97381883,0.75857828
1436140800,0.97387487,0.75855641
1436155200,0.97323226,0.75803132
1436169600,0.97513418,0.75783276
1436184000,0.98004950,0.75176530
1436198400,0.98337914,0.74866311
1436212800,0.98926021,0.74859962
1436227200,0.99374867,0.75467655
1436241600,0.99134862,0.75634791
1436256000,0.99771332,0.75847223
1436270400,1.01093416,0.75920951
1436284800,0.99135006,0.75662321
1436299200,1.00116488,0.75667808
1436313600,0.97437920,0.75667808
1436328000,0.96602865,0.76034478
1436342400,0.96677723,0.76012937
1436356800,0.97226555,0.74137825
1436371200,0.97690006,0.73677358
1436385600,0.98736217,0.73677427
1436400000,0.98546381,0.73951915
1436414400,0.98120427,0.74489911
1436428800,0.98577927,0.75225162
1436443200,1.00486490,0.79300680
1436457600,0.98481003,0.79753063
1436472000,0.99296233,0.80253111
1436486400,0.99335669,0.80361924
1436500800,0.98639496,0.80362233
1436515200,0.98663317,0.75573240
1436529600,0.99231512,0.75221103
1436544000,0.99475421,0.75264768
1436558400,1.00374283,0.75273601
1436572800,1.00269049,0.70614785
1436587200,1.01636078,0.64607157
1436601600,1.02199558,0.64417895
1436616000,1.02093439,0.64355859
1436630400,1.02547969,0.64540412
1436644800,1.02656260,0.64393490
1436659200,1.03453067,0.63982537
1436673600,1.03821165,0.64099945
1436688000,1.03337677,0.63834327
1436702400,1.03139231,0.64065720
1436716800,1.03296334,0.63875623
1436731200,1.03128438,0.63869751
1436745600,1.04353994,0.64388760
1436760000,1.02864449,0.59617091
1436774400,1.03639724,0.61501783
1436788800,1.04460525,0.62285068
1436803200,1.04533524,0.62285068
1436817600,1.04533524,0.62758892
1436832000,1.06009474,0.62758892
1436846400,1.07768882,0.62814923
1436860800,1.07743755,0.62883685
1436875200,1.07740676,0.62885227
1436889600,1.06372801,0.62892013
1436904000,1.03858696,0.63005203
1436918400,1.03754993,0.63005203
1436932800,1.03364049,0.63120609
1436947200,1.03338378,0.63128225
1436961600,1.03248864,0.63310124
1436976000,0.99691650,0.63131633
1436990400,0.98969255,0.62125742
1437004800,0.99029180,0.61060234
1437019200,1.00064230,0.61060234
1437033600,0.97779648,0.60820674
1437048000,0.97513960,0.60014870
1437062400,0.98399679,0.60151586
1437076800,0.95823539,0.60450155
1437091200,0.95761366,0.60450155
1437105600,0.95111598,0.59871093
1437120000,0.95767923,0.59535650
1437134400,0.96827211,0.59535650
1437148800,0.96827211,0.59710799
1437163200,0.96827211,0.60264827
1437177600,0.96239303,0.59807835
1437192000,0.97710124,0.59812657
1437206400,0.97710120,0.59812657
1437220800,0.97089157,0.59790965
1437235200,0.97698769,0.60298701
1437249600,0.99648831,0.60315421
1437264000,0.99648831,0.60353173
1437278400,0.96973909,0.60107639
1437292800,0.97947409,0.60107639
1437307200,0.96958483,0.60168469
1437321600,0.94914707,0.59704856
1437336000,0.95275374,1.35411362
1437350400,0.96256210,1.52868037
1437364800,0.95350392,1.53208323
1437379200,0.95329902,1.53280491
1437393600,0.95185367,1.53207294
1437408000,0.96258305,1.54134887
1437422400,0.94798371,1.54964270
1437436800,0.95439751,1.54994497
1437451200,0.94621820,1.54921396
1437465600,0.95695497,1.55383468
1437480000,0.94906323,1.55452348
1437494400,0.95423924,1.55733733
1437508800,0.94890626,1.55946213
1437523200,0.96140494,1.56083603
1437537600,0.95373413,1.56106684
1437552000,0.96338418,1.56135414
1437566400,0.95196363,1.56137533
1437580800,0.95888716,1.56863144
1437595200,0.94947928,1.57144671
1437609600,0.95916476,1.57149923
1437624000,0.95916476,1.57149923
1437638400,0.95055059,1.57157109
1437652800,0.94439662,1.57416004
1437667200,0.97148047,1.57483238
1437681600,0.97148047,1.57617353
1437696000,0.97148047,1.57863579
1437710400,0.96694390,1.57863579
1437724800,0.93385588,1.58463612
1437739200,0.92714878,1.58959528
1437753600,0.90926862,1.58949549
